label,map_acc_test,map_nll_test,bayes_loss_test,gibbs_loss_test,bayes_loss_train,gibbs_loss_train,bma_acc_test,bma_acc_train,kl
ConvNN-2k,0.2907,1.9453559814453123,1.9105,1.9126,1.9215,1.9236,0.3019,0.29404,12749.2099609375
ConvNN-5k,0.441,1.5319006225585938,1.5239,1.532,1.4821,1.4899,0.4465,0.46684,25030.625
ConvNN-9k,0.5253,1.3304089721679688,1.3207,1.3317,1.2336,1.2435,0.5267,0.55912,48352.62890625
ConvNN-15k,0.5642,1.226051318359375,1.2192,1.2338,1.0466,1.0589,0.5651,0.62906,79492.40625
ConvNN-21k,0.5727,1.2325356201171875,1.2235,1.2394,1.0074,1.0201,0.5743,0.64554,106744.6953125
ConvNN-30k,0.6063,1.1537078491210937,1.1423,1.1657,0.8406,0.857,0.6088,0.7074,150616.609375
ConvNN-37k,0.5968,1.1968935424804688,1.1793,1.2075,0.8082,0.8263,0.5976,0.72066,187956.640625
ConvNN-48k,0.6282,1.111358544921875,1.0954,1.1264,0.6951,0.7134,0.6299,0.76238,244957.53125
ConvNN-62k,0.6365,1.1795855224609375,1.1457,1.1963,0.5652,0.5881,0.6371,0.81008,310059.96875
ConvNN-72k,0.645,1.2074843017578123,1.1631,1.2251,0.4868,0.5109,0.6455,0.84084,362145.0625
ConvNN-87k,0.6169,1.3439667236328126,1.2878,1.3708,0.4585,0.4859,0.6175,0.85394,439601.0
ConvNN-100k,0.6245,1.4085123901367187,1.3305,1.433,0.4063,0.4356,0.6255,0.8761,502017.6875
ConvNN-118k,0.6415,1.4951602172851564,1.3818,1.5298,0.279,0.3075,0.6453,0.92738,592645.0
ConvNN-138k,0.6316,1.6275770263671876,1.4718,1.6547,0.2313,0.2591,0.6356,0.94544,691673.1875
ConvNN-153k,0.6457,1.602741552734375,1.4409,1.6424,0.2012,0.2268,0.6489,0.9564,768487.5
ConvNN-175k,0.6487,1.719931298828125,1.5221,1.7571,0.1717,0.1965,0.6518,0.96888,879691.0
ConvNN-193k,0.6464,1.82177265625,1.584,1.8544,0.1493,0.1737,0.6507,0.97724,967221.25
ConvNN-218k,0.6537,1.88990634765625,1.6132,1.9225,0.1118,0.1318,0.6572,0.98804,1091549.75
ConvNN-244k,0.6476,2.1176635009765623,1.764,2.1397,0.0881,0.1061,0.6513,0.99464,1224616.25
ConvNN-265k,0.6541,2.061504650878906,1.7034,2.0722,0.0828,0.0996,0.6576,0.99584,1326289.25
ConvNN-294k,0.6456,2.17710966796875,1.7639,2.1754,0.0719,0.0869,0.652,0.99752,1471173.125
ConvNN-316k,0.6473,2.30305791015625,1.8475,2.3036,0.0595,0.0728,0.651,0.99878,1583849.0
ConvNN-348k,0.6609,2.2140647705078127,1.7644,2.208,0.0519,0.063,0.6644,0.99946,1741864.0
ConvNN-381k,0.6725,2.177841479492188,1.721,2.1673,0.0412,0.0498,0.6727,0.99978,1909023.5
ConvNN-407k,0.6677,2.1463154541015625,1.6841,2.1287,0.0442,0.0535,0.6719,0.99972,2035425.875
ConvNN-442k,0.6591,2.2691858642578127,1.7749,2.2453,0.042,0.0511,0.6605,0.99976,2213983.25
ConvNN-470k,0.6693,2.2288858154296878,1.741,2.2166,0.0429,0.0526,0.673,0.9998,2351660.75
ConvNN-508k,0.6682,2.22730009765625,1.7287,2.201,0.0394,0.0481,0.6709,0.9999,2543330.0
ConvNN-548k,0.6675,2.1828380493164063,1.7029,2.1572,0.0362,0.0435,0.673,0.99988,2744285.75
ConvNN-579k,0.6762,2.089302893066406,1.65,2.0815,0.0355,0.0425,0.6792,0.9998,2895535.0
