label,map_acc_test,map_nll_test,bayes_loss_test,gibbs_loss_test,bayes_loss_train,gibbs_loss_train,bma_acc_test,bma_acc_train,kl
ConvNN-2k,0.2866,1.9483257934570313,1.9117472171783447,1.9138745069503784,1.9040907621383667,1.906082034111023,0.2992,0.303,15668.9248046875
ConvNN-5k,0.4446,1.5146688659667968,1.5087589025497437,1.5166722536087036,1.4711956977844238,1.4788345098495483,0.4496,0.4728,30738.572265625
ConvNN-9k,0.5352,1.3084014984130858,1.3019859790802002,1.3127225637435913,1.2135891914367676,1.223201870918274,0.5392,0.5648,59414.859375
ConvNN-15k,0.577,1.198258917236328,1.1914148330688477,1.2053941488265991,1.0297139883041382,1.041982889175415,0.5776,0.636,97701.1875
ConvNN-21k,0.5814,1.2140016326904297,1.204882264137268,1.2204481363296509,0.9999489784240723,1.0129220485687256,0.5842,0.648,131224.265625
ConvNN-30k,0.6168,1.1292754577636719,1.1182379722595215,1.1406739950180054,0.8251200914382935,0.8412116765975952,0.615,0.7104,185185.796875
ConvNN-37k,0.6072,1.1834973602294923,1.1659187078475952,1.1931816339492798,0.7996213436126709,0.8175604939460754,0.6088,0.7242,231120.25
ConvNN-48k,0.6296,1.1098712127685546,1.0960931777954102,1.1266298294067383,0.685981810092926,0.7037339210510254,0.629,0.768,301223.9375
ConvNN-62k,0.638,1.1767926361083985,1.1461118459701538,1.1954257488250732,0.5416484475135803,0.563778817653656,0.6382,0.817,381297.09375
ConvNN-72k,0.6518,1.2275672332763672,1.1830819845199585,1.2447274923324585,0.4767918288707733,0.5001194477081299,0.6526,0.8452,445362.5
ConvNN-87k,0.6288,1.2968262725830078,1.2430177927017212,1.3216100931167603,0.4432772397994995,0.469974160194397,0.6302,0.8608,540664.625
ConvNN-100k,0.6316,1.4077510345458983,1.3318442106246948,1.4313684701919556,0.4067801535129547,0.4363958239555359,0.6306,0.8804,617451.875
ConvNN-118k,0.6492,1.4289013305664062,1.3258261680603027,1.4661840200424194,0.27434056997299194,0.3017447292804718,0.6512,0.927,728931.625
ConvNN-138k,0.6398,1.6182688720703124,1.4657965898513794,1.6436452865600586,0.22184604406356812,0.24874533712863922,0.648,0.952,850760.5
ConvNN-153k,0.652,1.5798040313720703,1.424084186553955,1.6231271028518677,0.20456664264202118,0.23014946281909943,0.6524,0.9526,945266.125
ConvNN-175k,0.6504,1.7025870971679689,1.5150545835494995,1.7440351247787476,0.1703275889158249,0.19520755112171173,0.653,0.97,1082070.25
ConvNN-193k,0.6512,1.7913924743652343,1.5627496242523193,1.8245028257369995,0.14501839876174927,0.16937455534934998,0.6572,0.9772,1189751.5
ConvNN-218k,0.6596,1.8990153198242188,1.6251897811889648,1.930008888244629,0.11126238852739334,0.13126808404922485,0.6634,0.9878,1342695.5
ConvNN-244k,0.6482,2.1252564147949218,1.7785985469818115,2.1474874019622803,0.08601944893598557,0.10360927134752274,0.6498,0.9936,1506385.0
ConvNN-265k,0.6594,2.0616608825683596,1.7154030799865723,2.077432632446289,0.08346576243638992,0.10084009170532227,0.6624,0.9944,1631464.25
ConvNN-294k,0.6502,2.1627689331054687,1.765791416168213,2.167558193206787,0.07169241458177567,0.08685794472694397,0.6556,0.9968,1809705.0
ConvNN-316k,0.655,2.2992020568847655,1.863776683807373,2.300711154937744,0.05932699516415596,0.0724300667643547,0.6584,0.9988,1948313.625
ConvNN-348k,0.6644,2.1913610107421877,1.7604304552078247,2.192859172821045,0.05283155292272568,0.06401834636926651,0.6648,0.999,2142702.75
ConvNN-381k,0.6772,2.218076812744141,1.77032470703125,2.2054433822631836,0.04199092835187912,0.05091653764247894,0.675,0.9998,2348314.0
ConvNN-407k,0.6692,2.158890106201172,1.7111984491348267,2.1439599990844727,0.04465756565332413,0.05420408025383949,0.67,0.9994,2503829.75
ConvNN-442k,0.6608,2.2752849609375,1.800068736076355,2.254549503326416,0.041491322219371796,0.05047077685594559,0.6636,0.9998,2723495.75
ConvNN-470k,0.6738,2.2189129821777342,1.751386284828186,2.2069036960601807,0.04150320962071419,0.05043875053524971,0.678,1.0,2892887.25
ConvNN-508k,0.6742,2.176265509033203,1.7027184963226318,2.149876594543457,0.040089402347803116,0.048964593559503555,0.673,1.0,3128684.25
ConvNN-548k,0.6712,2.16818515625,1.7130743265151978,2.147806406021118,0.03551359102129936,0.042811669409275055,0.6796,1.0,3375911.0
ConvNN-579k,0.6816,2.080522027587891,1.6564439535140991,2.0738956928253174,0.03533349931240082,0.0423278771340847,0.6834,1.0,3561987.25
ConvNN-621k,0.6814,2.0437650512695313,1.62544584274292,2.0381877422332764,0.03404182568192482,0.0408216267824173,0.682,0.9996,3823130.5
ConvNN-654k,0.6788,2.122930017089844,1.6920206546783447,2.116342067718506,0.033944305032491684,0.040332723408937454,0.6786,1.0,4023382.0
ConvNN-699k,0.6726,2.1393127990722656,1.7036197185516357,2.135085344314575,0.032964274287223816,0.038940299302339554,0.6746,0.9998,4300482.0
ConvNN-746k,0.6874,1.9491680358886718,1.5570638179779053,1.9488308429718018,0.03207230567932129,0.037759799510240555,0.6916,1.0,4589511.5
ConvNN-781k,0.6886,1.9339385375976563,1.5566219091415405,1.9512698650360107,0.03263277933001518,0.03847023844718933,0.6906,0.9998,4806116.0
ConvNN-830k,0.6814,1.979946664428711,1.5883865356445312,1.9903311729431152,0.03291851282119751,0.039013467729091644,0.6832,0.9998,5108623.5
ConvNN-868k,0.695,1.8781927673339844,1.5036569833755493,1.8882261514663696,0.031208224594593048,0.0366542749106884,0.6942,1.0,5339859.5
ConvNN-919k,0.6858,1.9301592346191405,1.5538647174835205,1.9383903741836548,0.029906855896115303,0.03472558781504631,0.6882,1.0,5658496.0
ConvNN-973k,0.6862,1.9144689819335938,1.5397701263427734,1.9227056503295898,0.029894234612584114,0.03490361571311951,0.688,0.9998,5989345.0
ConvNN-1013k,0.6914,1.849709912109375,1.485377311706543,1.8656915426254272,0.030242174863815308,0.03532354161143303,0.6906,1.0,6236360.5
ConvNN-1069k,0.6952,1.8523936584472656,1.489016056060791,1.8620351552963257,0.030283858999609947,0.03505407273769379,0.6982,1.0,6580293.0
ConvNN-1112k,0.6908,1.7819591796875,1.4476310014724731,1.809389591217041,0.029287371784448624,0.03378807753324509,0.6932,1.0,6842393.5
ConvNN-1170k,0.7006,1.7604656890869141,1.4288076162338257,1.7872833013534546,0.029771676287055016,0.03451484441757202,0.7034,1.0,7202501.0
ConvNN-1231k,0.694,1.8295270385742188,1.480292797088623,1.8538143634796143,0.029534554108977318,0.03426482900977135,0.6942,1.0,7575193.5
ConvNN-1276k,0.6824,1.8332856506347657,1.4845846891403198,1.8599483966827393,0.028680630028247833,0.03306202217936516,0.6866,1.0,7852787.5
ConvNN-1339k,0.692,1.7972275817871093,1.4513696432113647,1.8108396530151367,0.029291143640875816,0.03390568494796753,0.6968,1.0,8238115.0
ConvNN-1386k,0.6986,1.7680650817871093,1.4334702491760254,1.7856720685958862,0.028514757752418518,0.032819751650094986,0.7016,0.9996,8531146.0
ConvNN-1452k,0.7018,1.6952480529785157,1.3770849704742432,1.7169827222824097,0.02825131081044674,0.03251241520047188,0.7066,1.0,8932563.0
