label,map_acc_test,map_nll_test,bayes_loss_test,gibbs_loss_test,bayes_loss_train,gibbs_loss_train,bma_acc_test,bma_acc_train,kl,inverse_rate,variance
ConvNN-2k,0.2907,1.9453555877685547,1.9106214046478271,1.9127126932144165,1.90402352809906,1.9060171842575073,0.301,0.303,12749.2099609375,0.4835747628985094,0.5309389233589172
ConvNN-5k,0.4411,1.5318750366210938,1.5240739583969116,1.5320571660995483,1.471036672592163,1.4786279201507568,0.445,0.4718,25030.625,0.8210219012256162,1.0354726314544678
ConvNN-9k,0.5253,1.3304293701171874,1.3210240602493286,1.3318796157836914,1.2139925956726074,1.2236566543579102,0.5285,0.5676,48352.6171875,1.0635612117573587,1.260040283203125
ConvNN-15k,0.5641,1.2260292373657227,1.2189404964447021,1.233503818511963,1.0295366048812866,1.041840672492981,0.5665,0.6382,79492.40625,1.166269154824451,1.5180909633636475
ConvNN-21k,0.5727,1.2325462310791016,1.2233964204788208,1.2391072511672974,1.0000511407852173,1.0129425525665283,0.5744,0.6484,106744.6953125,1.2103261064337834,1.6831992864608765
ConvNN-30k,0.6063,1.1537252655029298,1.1406508684158325,1.163612723350525,0.8254024386405945,0.8414813280105591,0.6079,0.711,150616.65625,1.1611869316562184,1.8635356426239014
ConvNN-37k,0.5967,1.196879280090332,1.1792969703674316,1.2071495056152344,0.8011472821235657,0.8189542293548584,0.5976,0.7214,187956.6875,1.206829873160037,2.0738027095794678
ConvNN-48k,0.6281,1.1113691146850586,1.0957276821136475,1.126346230506897,0.6866297125816345,0.7042269110679626,0.6283,0.7656,244957.59375,1.1259848636336054,2.1656174659729004
ConvNN-62k,0.6361,1.1795821990966797,1.1456533670425415,1.1957900524139404,0.5408995747566223,0.5631520748138428,0.638,0.819,310059.96875,1.196043155678428,2.959672451019287
ConvNN-72k,0.6449,1.2075273162841798,1.1633577346801758,1.2247538566589355,0.4788866937160492,0.5023620128631592,0.6464,0.843,362145.09375,1.2246442349970061,3.5357069969177246
ConvNN-87k,0.617,1.3439829666137695,1.2901525497436523,1.3724719285964966,0.4428967237472534,0.46976128220558167,0.6177,0.8592,439600.9375,1.3714847611188838,4.217731475830078
ConvNN-100k,0.6244,1.4085353302001953,1.3302687406539917,1.4312655925750732,0.40795040130615234,0.43745213747024536,0.6244,0.8802,502017.6875,1.43134581908081,4.943045616149902
ConvNN-118k,0.6416,1.495213003540039,1.3854528665542603,1.5320920944213867,0.2743995189666748,0.30201801657676697,0.645,0.9296,592645.0,1.5328215670049352,6.81196928024292
ConvNN-138k,0.6318,1.6276090698242187,1.476272463798523,1.657694697380066,0.2211485356092453,0.24790509045124054,0.6379,0.9494,691673.25,1.6566465613293864,8.212606430053711
ConvNN-153k,0.646,1.6027544067382813,1.444597840309143,1.641983985900879,0.2039424031972885,0.22970795631408691,0.6499,0.9558,768487.5,1.6430686269292414,8.463174819946289
ConvNN-175k,0.6489,1.7199080276489258,1.5240535736083984,1.7544279098510742,0.1698571890592575,0.1937825232744217,0.6521,0.9706,879691.0,1.7556896886990188,10.039499282836914
