model,parameters,train loss,test loss,train accuracy (%),test accuracy (%)
ConvNN-2k,2548.0,1.5739382100105286,1.5953571915626525,42.45,41.85
ConvNN-5k,5001.0,1.4891888375282287,1.5319006443023682,46.47,44.1
ConvNN-9k,9663.0,1.2441841855049134,1.3304089665412904,55.648,52.53
ConvNN-15k,15888.0,1.0488174526691436,1.2260513305664062,62.852,56.42
ConvNN-21k,21344.0,1.0104127759933472,1.2325356245040893,64.2,57.27
ConvNN-30k,30119.0,0.8409801180362702,1.1537078499794007,70.56,60.63
ConvNN-37k,37591.0,0.808807062625885,1.1968935132026672,71.952,59.68
ConvNN-48k,48987.0,0.695093652009964,1.1113585352897644,76.092,62.82
ConvNN-62k,62006.0,0.5627354841232299,1.1795855164527893,80.792,63.65
ConvNN-72k,72421.0,0.48180399227142334,1.2074843168258667,83.95,64.5
ConvNN-87k,87930.0,0.44977331590652464,1.3439667224884033,85.416,61.69
ConvNN-100k,100421.0,0.3931776993274689,1.4085123896598817,87.698,62.45
ConvNN-118k,118551.0,0.258508021235466,1.495160210132599,92.786,64.15
ConvNN-138k,138364.0,0.20598368614912033,1.627577018737793,94.802,63.16
ConvNN-153k,153738.0,0.1739775366783142,1.6027415633201598,95.874,64.57
ConvNN-175k,175981.0,0.13842106360197068,1.7199312925338746,97.232,64.87
ConvNN-193k,193491.0,0.11409301227331162,1.8217726707458497,97.966,64.64
ConvNN-218k,218355.0,0.0738213705867529,1.8899063467979431,99.05,65.37
ConvNN-244k,244962.0,0.048160654328763486,2.1176635146141054,99.666,64.76
ConvNN-265k,265295.0,0.04332108402252197,2.0615046977996827,99.76,65.41
ConvNN-294k,294272.0,0.033379376582801344,2.177109694480896,99.868,64.56
ConvNN-316k,316801.0,0.022708732027560474,2.3030579328536986,99.954,64.73
ConvNN-348k,348399.0,0.018699071153998374,2.2140647649765013,99.98,66.09
ConvNN-381k,381800.0,0.01264684878103435,2.1778414964675905,99.988,67.25
ConvNN-407k,407092.0,0.01397445024177432,2.1463154554367065,99.994,66.77
ConvNN-442k,442803.0,0.01189527814462781,2.2691858768463136,99.992,65.91
ConvNN-470k,470351.0,0.011660597154870628,2.228885841369629,99.998,66.93
ConvNN-508k,508683.0,0.010081126099452376,2.2273000955581663,100.0,66.82
ConvNN-548k,548878.0,0.009700342254713178,2.1828380465507506,100.0,66.75
ConvNN-579k,579129.0,0.009589768523350358,2.0893029093742372,100.0,67.62
ConvNN-621k,621574.0,0.009442388597875833,2.02298127412796,100.0,68.16
ConvNN-654k,654141.0,0.009530292825773359,2.13198037147522,99.998,67.21
ConvNN-699k,699207.0,0.00914588951319456,2.130810332298279,100.0,66.7
ConvNN-746k,746196.0,0.009261235881596804,1.9820218443870545,100.0,68.02
ConvNN-781k,781406.0,0.009136837491765618,1.9494024991989136,100.0,68.44
ConvNN-830k,830585.0,0.009182040991261601,2.013807809352875,100.0,67.57
ConvNN-868k,868171.0,0.009221748825162648,1.911292815208435,100.0,68.57
ConvNN-919k,919971.0,0.008951309615746141,1.9168188095092773,99.998,68.52
ConvNN-973k,973754.0,0.009297979585826397,1.891236126422882,100.0,68.59
ConvNN-1013k,1013923.0,0.008851826205849648,1.867285430431366,100.0,68.96
ConvNN-1069k,1069836.0,0.009517861001193523,1.8384564161300658,99.996,69.0
ConvNN-1112k,1112441.0,0.008982115689665079,1.794723880290985,100.0,68.75
ConvNN-1170k,1170975.0,0.009168661311268806,1.782567071914673,99.998,69.66
ConvNN-1231k,1231552.0,0.008556679755449294,1.824146842956543,100.0,69.03
ConvNN-1276k,1276680.0,0.00851128027960658,1.8320090174674988,100.0,68.21
ConvNN-1339k,1339327.0,0.008751864660531282,1.7982559323310852,100.0,69.13
ConvNN-1386k,1386951.0,0.008806560618802904,1.7600393414497375,99.998,69.74
ConvNN-1452k,1452219.0,0.00914125792682171,1.718440794944763,99.998,70.08
