model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,optimal lambda,expected cumulant
cifar10_mobilenetv2_x0_5,0.7,last_layer,kron,0.1000000014901161,0.8608,0.9176,1.1281855,7.008742,1.0593073,6.643357,0.0223778930664062,6.5527416438293455,-0.09061515625,12810,-19.84372027956951,-0.09034065285189775,60.57801055908203,0.0045218817,0.0006096973424072338
cifar10_mobilenetv2_x0_75,1.37,last_layer,kron,0.1000000014901161,0.8788,0.93974,1.1246887,7.0472937,1.0540442,6.6624675,0.0118023864746093,6.552320809783936,-0.110146669921875,12810,-24.16488013348768,-0.10987255716185895,59.77388000488281,0.0045218817,0.0006018280041510948
cifar10_mobilenetv2_x1_0,2.24,last_layer,kron,0.1000000014901161,0.8807,0.94746,1.1298451,7.055888,1.0521648,6.636577,0.0102482177734375,6.523591797332764,-0.11298533203125,12810,-24.791728914655977,-0.11271127604561162,60.20713424682617,0.0045218817,0.0006060108582812557
cifar10_mobilenetv2_x1_4,4.33,last_layer,kron,0.1000000014901161,0.8934,0.95534,1.1197927,6.905624,1.0470237,6.532793,0.0093731298828125,6.3675041387939455,-0.16528890625,17930,-36.36790489644599,-0.16501589635676783,56.031150817871094,0.0045218817,0.0005645328895957924
cifar10_repvgg_a0,7.84,last_layer,kron,0.1000000014901161,0.8921,0.9567,0.37885794,0.74385095,0.19753668,0.37093663,0.0059686804199218,0.2515246887969971,-0.119411943359375,12810,-26.340840565569188,-0.11913801590853389,2.763841152191162,0.0045218817,2.7851102131576377e-05
cifar10_repvgg_a1,12.82,last_layer,kron,0.1000000014901161,0.8956,0.95952,0.37150562,0.73491335,0.19558726,0.37104818,0.0057279168701171,0.2512819420146942,-0.119766240234375,12810,-26.419644403418754,-0.1194923198696131,2.562809944152832,0.0045218817,2.581343127715241e-05
cifar10_repvgg_a2,26.82,last_layer,kron,0.1000000014901161,0.9026,0.9648,0.35660028,0.6889426,0.18900609,0.343335,0.0056785546875,0.2108588991451263,-0.132476103515625,14090,-29.231240057241944,-0.13220243735321277,2.206017017364502,0.0045218817,2.2227991759493637e-05
cifar10_resnet20,0.27,last_layer,kron,0.1000000014901161,0.8589,0.92678,0.47792298,0.57171243,0.2267931,0.2744268,0.0180866271972656,0.2954953110408783,0.0210685229492187,650,0.23778719717903332,0.021345260065579297,1.8314721584320068,0.220954,0.03119477252578129
cifar10_resnet32,0.47,last_layer,kron,0.1000000014901161,0.887,0.9609,0.382527,0.5761363,0.1381539,0.20873779,0.0117206262207031,0.2190642761802673,0.0103264855957031,650,0.19215195009272285,0.010603007867019726,2.228062629699707,0.12629476,0.013664776917818417
cifar10_resnet44,0.66,last_layer,kron,0.1000000014901161,0.8987,0.97116,0.33995652,0.595469,0.121985845,0.21126036,0.0091075183105468,0.2168439974927902,0.0055836340332031,650,0.1562191164210835,0.005860061445591297,2.509267807006836,0.081464544,0.006866257628149074
cifar10_resnet56,0.86,last_layer,kron,0.1000000014901161,0.893,0.95876,0.3687189,0.69305366,0.17754881,0.32365033,0.007303896484375,0.3264398093700409,0.0027894790649414,650,0.12231618049875914,0.0030658505931125475,2.7600677013397217,0.05355604,0.0034849196536894662
cifar10_shufflenetv2_x0_5,0.35,last_layer,kron,0.1000000014901161,0.8173,0.87906,0.6114198,0.6882084,0.36404157,0.41263977,0.0590719140625,0.4325799634647369,0.0199401965332031,10250,0.25043581895584544,0.020216911082584037,2.024766206741333,0.1878171,0.026819217345945393
cifar10_shufflenetv2_x1_0,1.26,last_layer,kron,0.1000000014901161,0.8673,0.9354,0.44727874,0.6448575,0.20961875,0.29938143,0.0114654309082031,0.2137142571830749,-0.085667177734375,10250,-18.879135718466333,-0.08539257537472321,2.3194210529327393,0.0045218817,2.3357136171894832e-05
cifar10_shufflenetv2_x1_5,2.49,last_layer,kron,0.1000000014901161,0.8831,0.95556,0.39065072,0.6149795,0.16238812,0.25130317,0.0087362658691406,0.1610973165416717,-0.090205849609375,10250,-19.883081024823397,-0.08993133802497622,2.224330186843872,0.0045218817,2.239788198764303e-05
cifar10_shufflenetv2_x2_0,5.37,last_layer,kron,0.1000000014901161,0.886,0.95866,0.3750993,0.6169831,0.15565112,0.24885878,0.0072857019042968,0.0549904984188079,-0.19386828125,20490,-42.80817387451129,-0.19359584295569982,2.2180793285369873,0.0045218817,2.2345080348845636e-05
cifar10_vgg11_bn,9.76,last_layer,kron,0.1000000014901161,0.8901,0.98156,1.9329569,54.672966,1.8996067,54.90139,0.0067514752197265,54.86358228759766,-0.0378077880859375,5130,-3.814703537829068,-0.0375322285193486,2110.532470703125,0.0045218817,0.020282590416595518
