model,parameters (M),subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
cifar10_mobilenetv2_x0_5,0.7,last_layer,kron,100.0,0.5302248,0.54559225,0.2621642,0.27034172,0.0610291845703125,1177.6601017241574,1177.38976,12810,0.42691611225954584,1177.4135845819028,1.747493028640747
cifar10_mobilenetv2_x0_75,1.37,last_layer,kron,100.0,0.47564188,0.49505565,0.19763073,0.20605177,0.0510024755859375,1169.7542917668725,1169.54824,12810,0.3916474482582965,1169.5719077483661,1.7360143661499023
cifar10_mobilenetv2_x1_0,2.24,last_layer,kron,100.0,0.46182266,0.4819603,0.16947652,0.17737927,0.048885048828125,1168.5539392654275,1168.37656,12810,0.37387265562905375,1168.4002043142973,1.71486234664917
cifar10_mobilenetv2_x1_4,4.33,last_layer,kron,100.0,0.4218705,0.44044983,0.14524329,0.15223782,0.04548919921875,1633.231437817645,1633.0792,17930,0.3520231987647565,1633.1121385529823,1.6103779077529907
cifar10_repvgg_a0,7.84,last_layer,kron,100.0,0.43691933,0.4590531,0.14505288,0.15203236,0.0309031030273437,1165.9857923604343,1165.83376,12810,0.3685555231643564,1165.8573534572802,1.6989630460739136
cifar10_repvgg_a1,12.82,last_layer,kron,100.0,0.4132012,0.4341622,0.13961896,0.14628816,0.0294703125,1165.874608156509,1165.72832,12810,0.3443684701413546,1165.7519113484382,1.5870907306671143
cifar10_repvgg_a2,26.82,last_layer,kron,100.0,0.38066405,0.39909387,0.11584638,0.1205205,0.0279952368164062,1282.2284405023288,1282.10792,14090,0.316021602319237,1282.1338389869907,1.345384120941162
cifar10_resnet20,0.27,last_layer,kron,100.0,0.51414466,0.5215219,0.23235111,0.23564503,0.072843115234375,71.90944502596855,71.6738,650,0.41874646191487735,71.67550982040757,1.626928687095642
cifar10_resnet32,0.47,last_layer,kron,100.0,0.44844228,0.46296102,0.1251088,0.12929688,0.0441348876953125,64.7723468839407,64.64305,650,0.36747048540806754,64.64461920259521,1.721165418624878
cifar10_resnet44,0.66,last_layer,kron,100.0,0.41286346,0.4303983,0.092685275,0.096909545,0.0381991772460937,62.380034545362,62.283125,650,0.3404532438279722,62.28464700315122,1.7476094961166382
cifar10_resnet56,0.86,last_layer,kron,100.0,0.4257224,0.44583574,0.13449408,0.14060488,0.0358633129882812,61.22516488343239,61.08456,650,0.35535181352983763,61.086058031371785,1.696056842803955
cifar10_shufflenetv2_x0_5,0.35,last_layer,kron,100.0,0.6436344,0.6479421,0.37463635,0.37719947,0.09994578125,961.3912794709968,961.01408,10250,0.5351261171867105,961.0335769817508,1.8808293342590332
cifar10_shufflenetv2_x1_0,1.26,last_layer,kron,100.0,0.51903033,0.53282267,0.20964515,0.21530224,0.0544075537109375,936.6639422438288,936.44864,10250,0.4154227774717222,936.4676456631244,1.8655803203582764
cifar10_shufflenetv2_x1_5,2.49,last_layer,kron,100.0,0.45220217,0.4666115,0.14226481,0.14683746,0.04907044921875,934.6703574580145,934.52352,10250,0.3708197189952491,934.5424871599544,1.6648344993591309
cifar10_shufflenetv2_x2_0,5.37,last_layer,kron,100.0,0.4407312,0.45626298,0.1291963,0.13373357,0.0441446142578125,1864.424933570576,1864.2912,20490,0.36484750083800693,1864.328762885469,1.5823845863342285
cifar10_vgg11_bn,9.76,last_layer,kron,100.0,0.41424677,0.5278315,0.04580558,0.058177236,0.0210542065429687,471.3719372364676,471.31376,5130,0.44361338930661626,471.3234627794667,2.544949531555176
cifar10_vgg13_bn,9.94,last_layer,kron,100.0,0.3450712,0.44563276,0.034350254,0.044210456,0.0191806201171875,470.3934904563117,470.34928,5130,0.36371013015747017,470.3589634894809,2.122504711151123
cifar10_vgg16_bn,15.25,last_layer,kron,100.0,0.369722,0.49412337,0.041452773,0.05425842,0.0170292065429687,469.0316184210634,468.97736,5130,0.41357574330894664,468.98701605053213,2.8744401931762695
cifar10_vgg19_bn,20.57,last_layer,kron,100.0,0.40785727,0.54264176,0.044004057,0.05744752,0.0167348498535156,468.83716751915335,468.77972,5130,0.43006412431608837,468.7893720976531,3.1623587608337402
