model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL
ConvNN-2k,2548.0,all,kron,100.0,0.2911,0.28264,0.2896,0.28248,1.9451591,1.9613227,1.9566844,1.9728763,1.71323578125,2.223676,0.2507996
ConvNN-5k,5001.0,all,kron,100.0,0.4406,0.4644,0.4405,0.46408,1.5309849,1.5612291,1.4896014,1.5183568,1.67499578125,2.0052245,0.48686758
ConvNN-9k,9663.0,all,kron,100.0,0.5262,0.55548,0.5257,0.5558,1.3270584,1.3802798,1.2455046,1.2941961,1.50648421875,2.2120357,0.91783947
ConvNN-15k,15888.0,all,kron,100.0,0.5637,0.62856,0.5633,0.62858,1.2164259,1.319539,1.055038,1.1423365,1.4630775,2.6785922,1.5362556
ConvNN-21k,21344.0,all,kron,100.0,0.5732,0.642,0.5737,0.64138,1.2180088,1.3566064,1.021467,1.1336193,1.5119828125,3.1818428,2.0482235
ConvNN-30k,30119.0,all,kron,100.0,0.6065,0.70566,0.6069,0.70546,1.1245654,1.3212072,0.86126834,1.005512,1.46808,3.8713818,2.8658698
ConvNN-37k,37591.0,all,kron,100.0,0.597,0.71946,0.5965,0.7191,1.15203,1.4036407,0.83879817,1.0137538,1.55562125,4.5956883,3.5819345
ConvNN-48k,48987.0,all,kron,100.0,0.6281,0.7609,0.6273,0.75968,1.0600497,1.3552598,0.7367825,0.9306984,1.53028,5.4990473,4.568349
ConvNN-62k,62006.0,all,kron,100.0,0.6343,0.8078,0.6334,0.80562,1.0655092,1.5299731,0.6388647,0.90151125,1.64115125,6.7435813,5.84207
ConvNN-72k,72421.0,all,kron,100.0,0.6458,0.83922,0.643,0.83844,1.0508325,1.6118163,0.57642233,0.868097,1.7015971875,7.684053,6.815956
ConvNN-87k,87930.0,all,kron,100.0,0.6188,0.85322,0.6187,0.85102,1.1239493,1.8469082,0.5716638,0.92155355,1.9010265625,9.223243,8.301689
ConvNN-100k,100421.0,all,kron,100.0,0.6236,0.876,0.6245,0.87226,1.12709,1.9716959,0.5375482,0.92545503,1.99733265625,10.383597,9.458142
ConvNN-118k,118551.0,all,kron,100.0,0.6413,0.92674,0.6401,0.92284,1.0883398,2.2309952,0.45696014,0.9320365,2.149435625,12.121569,11.189532
ConvNN-138k,138364.0,all,kron,100.0,0.6326,0.94674,0.6345,0.94296,1.0953336,2.480218,0.4319855,0.9717893,2.19207375,13.86198,12.890191
