model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expanded kl,expected input-gradient norm
ConvNN-2k,2548.0,last_layer,kron,0.0099999997764825,0.4186,0.42466,1.5953351,1.5967656,1.5739046,1.5753279,1.59213359375,1.6005479293823242,0.0252200561523437,170,1.568375107406669,2378.5263468933013,0.9170090556144714,299999.0,468132.4375,40.993682861328125,118922664.0,0.001650412929058075
ConvNN-5k,5001.0,last_layer,kron,0.0099999997764825,0.4412,0.46478,1.5318375,1.5341436,1.4892113,1.4913805,1.5157540625,1.5279629042816163,0.036582451171875,260,1.5300450701376138,4741.436007481533,1.0496938228607178,299999.25,454270.9375,55.02906799316406,237065216.0,0.001545849645137787
ConvNN-9k,9663.0,last_layer,kron,0.0099999997764825,0.5254,0.55644,1.3302094,1.333258,1.2442402,1.2470461,1.278992734375,1.2934264303970338,0.0463803173828125,340,1.3643366018795007,9323.238561398823,1.255657434463501,299999.25,399976.71875,58.25081253051758,466150272.0,0.0011758212566375732
ConvNN-15k,15888.0,last_layer,kron,0.0099999997764825,0.5631,0.62852,1.2255201,1.2295593,1.0489179,1.0523672,1.094138046875,1.1136119662475583,0.061244755859375,430,1.2815026137553984,15457.99500096609,1.5323069095611572,299999.75,368992.46875,65.15908813476562,772881216.0,0.0013986214995384215
ConvNN-21k,21344.0,last_layer,kron,0.0099999997764825,0.5727,0.64192,1.2318566,1.236934,1.010619,1.014692,1.0631003125,1.0848161139297483,0.0701241650390625,510,1.3067796178260092,20833.621152898308,1.6981194019317627,299999.75,371199.9375,72.16035461425781,1041656704.0,0.0015288904190063476
ConvNN-30k,30119.0,last_layer,kron,0.0099999997764825,0.6067,0.70562,1.1522821,1.1587288,0.84134716,0.8459434,0.901174921875,0.9246823317527773,0.0787389404296875,590,1.2584270876670205,29527.980934869338,1.8788402080535889,299999.44,347999.4375,76.44924926757812,1476365568.0,0.0015956941962242126
ConvNN-37k,37591.0,last_layer,kron,0.0099999997764825,0.5964,0.71962,1.1945924,1.2025607,0.8093635,0.81450427,0.877893203125,0.9062671271133422,0.091762861328125,680,1.3257815189067859,36909.37422665607,2.0852255821228027,299999.75,360824.75,81.04203796386719,1845427200.0,0.0015679395914077758
ConvNN-48k,48987.0,last_layer,kron,0.0099999997764825,0.6282,0.76086,1.1087096,1.1178697,0.6959017,0.7014002,0.7701703125,0.7963635504722595,0.094963330078125,760,1.2797401156173807,48224.527250185296,2.1621668338775635,299999.75,335697.1875,85.8932113647461,2411173376.0,0.0017614428400993347
ConvNN-62k,62006.0,last_layer,kron,0.0099999997764825,0.6365,0.8082,1.1743102,1.1868993,0.56407267,0.56975025,0.6477406640625,0.6797221243858338,0.109971875,850,1.3923670047354266,61152.534578876795,2.975828170776367,299999.75,356557.21875,92.71775817871094,3057560064.0,0.0019186944842338562
ConvNN-72k,72421.0,last_layer,kron,0.0099999997764825,0.6448,0.83962,1.2002362,1.2157013,0.4835775,0.48934802,0.573415859375,0.6043279850673675,0.1149799609375,930,1.455203873333595,71486.64194911014,3.5561983585357666,299999.75,365074.15625000006,96.41299438476562,3574254848.0,0.002063682198524475
ConvNN-87k,87930.0,last_layer,kron,0.0099999997764825,0.6166,0.85394,1.334388,1.35289,0.4520753,0.45799455,0.5511194140625,0.5876576266384125,0.129663076171875,1010,1.643993411306207,86914.20614350926,4.1650848388671875,299999.75,406283.40625,98.68338012695312,4345616896.0,0.002424263405799866
ConvNN-100k,100421.0,last_layer,kron,0.0099999997764825,0.6247,0.87686,1.395953,1.4184252,0.39617464,0.4022186,0.50249484375,0.5410915592670441,0.13887294921875,1100,1.7515136673655765,99314.09983125606,4.957993507385254,299999.75,426139.5625,104.225830078125,4965598720.0,0.0025837508201599123
ConvNN-118k,118551.0,last_layer,kron,0.0099999997764825,0.641,0.92794,1.4756812,1.5067015,0.26293686,0.26809162,0.37399375,0.412403972530365,0.144312353515625,1180,1.9021172988325694,117362.58912044614,6.6732258796691895,299999.75,453272.125,107.46285247802734,5868004864.0,0.002903239393234253
ConvNN-138k,138364.0,last_layer,kron,0.0099999997764825,0.6316,0.94836,1.5998051,1.6408517,0.21136428,0.2163261,0.328417109375,0.3669568057394027,0.150630703125,1270,2.1024262847609365,137083.73482170978,8.22280216217041,299999.75,493643.625,111.77497863769531,6854042112.0,0.0031958260536193847
ConvNN-153k,153738.0,last_layer,kron,0.0099999997764825,0.646,0.95888,1.5699425,1.6181382,0.18031162,0.18493238,0.3014034765625,0.3388880547428131,0.153955673828125,1350,2.1297961653891457,152376.2859177024,8.337211608886719,299999.75,486562.03125,115.05857849121094,7618654208.0,0.0031425740003585816
ConvNN-175k,175981.0,last_layer,kron,0.0099999997764825,0.6486,0.9723,1.679041,1.7374635,0.14561443,0.14984652,0.27254353515625,0.3099575689220428,0.160111044921875,1430,2.322041916000733,174537.11928974092,10.043157577514648,299999.75,522074.875,119.43976593017578,8726673408.0,0.0032976839542388915
ConvNN-193k,193491.0,last_layer,kron,0.0099999997764825,0.647,0.97976,1.7674146,1.8415079,0.122372866,0.12632763,0.2537244140625,0.289673454170227,0.1633458203125,1520,2.4861777206515123,191955.44465102354,11.47953987121582,299999.75,553897.25,123.2855224609375,9597572096.0,0.003567521643638611
ConvNN-218k,218355.0,last_layer,kron,0.0099999997764825,0.6533,0.99044,1.8118621,1.9155226,0.08369658,0.087214425,0.21896392578125,0.2540056752061844,0.16679125,1600,2.643807857869843,216737.07140898838,13.205172538757324,299999.75,576404.625,126.43151092529297,10836628480.0,0.003620674157142639
ConvNN-244k,244962.0,last_layer,kron,0.0099999997764825,0.6478,0.99666,2.0053136,2.1516342,0.059693374,0.062972315,0.19640943359375,0.2288477248120308,0.16587541015625,1690,2.966657268416049,243251.43886049755,16.003339767456055,299999.75,646745.0,130.3233642578125,12162320384.0,0.004045611882209778
ConvNN-265k,265295.0,last_layer,kron,0.0099999997764825,0.6534,0.9976,1.937963,2.0987494,0.055657227,0.059200488,0.1946668359375,0.2242352536559105,0.165034765625,1770,2.983179534777508,263502.3646383686,15.330154418945312,299999.75,631450.7500000001,132.8173065185547,13174846464.0,0.004112786269187927
ConvNN-294k,294272.0,last_layer,kron,0.0099999997764825,0.6463,0.99868,2.0136604,2.2230966,0.04717787,0.05084898,0.187887265625,0.2154985693466663,0.16464958984375,1850,3.204595364944693,292396.4333345667,17.038358688354492,299999.75,668981.375,136.15469360351562,14619521024.0,0.004008185482025146
ConvNN-316k,316801.0,last_layer,kron,0.0099999997764825,0.6472,0.99952,2.08147,2.364578,0.038803115,0.043218143,0.17847126953125,0.2043229479718208,0.1611048046875,1940,3.4233996664480437,314833.16908449656,19.936050415039062,299999.75,712185.8749999999,138.92202758789062,15741335552.0,0.004203179383277893
ConvNN-348k,348399.0,last_layer,kron,0.0099999997764825,0.6608,0.9998,1.9578736,2.28867,0.036371645,0.04174007,0.1757484765625,0.2007325124347209,0.15899244140625,2020,3.452624726345094,346347.92974734656,19.118648529052734,299999.75,689438.625,142.74180603027344,17317042176.0,0.004219956541061401
ConvNN-381k,381800.0,last_layer,kron,0.0099999997764825,0.6722,0.99986,1.8487191,2.280128,0.034168012,0.042320497,0.1683233984375,0.1945182024121284,0.152197705078125,2110,3.5474454556179187,379655.49982401176,19.640214920043945,299999.75,684577.25,146.0775604248047,18982387712.0,0.004299481153488159
ConvNN-407k,407092.0,last_layer,kron,0.0099999997764825,0.6679,0.99994,1.8276083,2.2435782,0.035523985,0.043574624,0.17709294921875,0.2044563620448112,0.16088173828125,2190,3.598255390470826,404864.96757740004,18.646942138671875,299999.75,674610.7500000001,149.07208251953125,20242835456.0,0.0042200424671173095
ConvNN-442k,442803.0,last_layer,kron,0.0099999997764825,0.659,0.99992,1.8867595,2.3881514,0.036779333,0.047121093,0.180436875,0.2118180262708664,0.16469693359375,2270,3.863287630405391,440492.32329970977,20.563003540039062,299999.75,718493.0,151.103759765625,22024167424.0,0.004404104089736938
ConvNN-470k,470351.0,last_layer,kron,0.0099999997764825,0.67,0.99998,1.837053,2.350944,0.037352096,0.04835861,0.18577392578125,0.2184012875437736,0.17004267578125,2360,3.9187613374675045,467947.54654991697,20.460474014282227,299999.75,707679.875,154.19342041015625,23396900864.0,0.0042864288806915285
ConvNN-508k,508683.0,last_layer,kron,0.0099999997764825,0.6686,1.0,1.807706,2.365006,0.0382149,0.05091233,0.18721205078125,0.2217144216334819,0.17080208984375,2440,4.058510778655747,506195.53146902943,20.769508361816406,299999.75,711356.6875,157.62994384765625,25309261824.0,0.004290022802352906
ConvNN-548k,548878.0,last_layer,kron,0.0099999997764825,0.6668,1.0,1.737146,2.3323772,0.03926873,0.053648982,0.1886439453125,0.2239800954782962,0.17033111328125,2530,4.163916669052618,546296.4597366182,20.122264862060547,299999.75,702877.5,160.02670288085938,27314268160.0,0.004244724035263062
ConvNN-579k,579129.0,last_layer,kron,0.0099999997764825,0.6765,1.0,1.6484754,2.2507327,0.041289505,0.057891123,0.19338890625,0.2324874315905571,0.17459630859375,2610,4.173571881970044,576464.2711980428,19.407955169677734,299999.75,675606.2499999999,162.46368408203125,28822628352.0,0.00415051703453064
ConvNN-621k,621574.0,last_layer,kron,0.0099999997764825,0.6811,1.0,1.580759,2.195236,0.04265178,0.060957316,0.1966783984375,0.2374819647467136,0.1765246484375,2690,4.265015125572228,618824.846417887,18.2606143951416,299999.75,660678.6250000001,165.02200317382812,30940614656.0,0.004001143741607666
ConvNN-654k,654141.0,last_layer,kron,0.0099999997764825,0.6718,0.99998,1.6563005,2.3094912,0.044063266,0.06411776,0.19954884765625,0.2425263141536712,0.1784085546875,2780,4.4849413150396975,651298.5857765804,20.14750099182129,299999.75,694182.6875000001,168.5947723388672,32564269056.0,0.004003123450279236
ConvNN-699k,699207.0,last_layer,kron,0.0099999997764825,0.6672,1.0,1.6211914,2.32491,0.046681054,0.06917,0.20445685546875,0.2519249591064453,0.1827549609375,2860,4.651736385076397,696279.877588823,19.297483444213867,299999.75,699239.875,170.19998168945312,34813288448.0,0.004148671627044678
ConvNN-746k,746196.0,last_layer,kron,0.0099999997764825,0.6796,1.0,1.515905,2.1718225,0.046902884,0.069580786,0.20593169921875,0.2515495945239067,0.18196880859375,2950,4.6533862198357525,743173.952604171,17.752349853515625,299999.75,652840.7499999999,172.9739227294922,37157945344.0,0.003974265432357788
ConvNN-781k,781406.0,last_layer,kron,0.0099999997764825,0.6841,1.0,1.4817071,2.15121,0.047512054,0.07119903,0.21137970703125,0.2581940296840668,0.186995,3030,4.7535889788497006,778300.3177576654,17.520212173461914,299999.75,647775.1875,175.9279022216797,38914228224.0,0.0038224321365356445
ConvNN-830k,830585.0,last_layer,kron,0.0099999997764825,0.6748,1.0,1.5175239,2.2204366,0.048759095,0.07296855,0.2179437109375,0.2663351906514167,0.193366640625,3110,4.984523149134034,827394.3236094231,18.07143783569336,299999.75,667961.3749999998,178.03866577148438,41368879104.0,0.003920829701423645
ConvNN-868k,868171.0,last_layer,kron,0.0099999997764825,0.6866,1.0,1.4352103,2.1212192,0.049947597,0.07589106,0.21848220703125,0.2680302227735519,0.19213916015625,3200,5.007812785384467,864886.3336621437,17.335426330566406,299999.75,637456.2500000002,181.40028381347656,43243442176.0,0.003786737036705017
ConvNN-919k,919971.0,last_layer,kron,0.0099999997764825,0.6847,0.99998,1.4225838,2.141222,0.052256405,0.081153475,0.2177062890625,0.2705201739668846,0.18936669921875,3280,5.204837955714028,916601.0855047196,17.270444869995117,299999.75,644848.9999999999,183.53945922851562,45829128192.0,0.003779122304916382
ConvNN-973k,973754.0,last_layer,kron,0.0099999997764825,0.6855,1.0,1.4059627,2.1137156,0.052654173,0.08218334,0.227772421875,0.281770057451725,0.19958671875,3370,5.350432036671687,970288.5233934969,16.7929630279541,299999.75,634839.75,186.0814971923828,48513445888.0,0.0037843282461166384
ConvNN-1013k,1013923.0,last_layer,kron,0.0099999997764825,0.69,1.0,1.3598186,2.1028097,0.054901157,0.08736205,0.22800177734375,0.2860034181976318,0.1986413671875,3450,5.481835603217628,1010373.4355063876,16.715402603149414,299999.75,634175.875,188.2755584716797,50517651456.0,0.003731195855140686
ConvNN-1069k,1069836.0,last_layer,kron,0.0099999997764825,0.6903,0.99996,1.3425262,2.080693,0.05603208,0.09055568,0.229156953125,0.2883858976221084,0.19783021484375,3530,5.641903840641065,1066200.4917163595,16.22300148010254,299999.75,626369.25,191.090576171875,53308948480.0,0.003666950631141663
ConvNN-1112k,1112441.0,last_layer,kron,0.0099999997764825,0.6877,1.0,1.2958367,2.0538795,0.058393516,0.09526357,0.235650546875,0.2993717150783539,0.20410814453125,3620,5.761758087353973,1108711.1107666702,15.620833396911621,299999.75,619814.875,192.556884765625,55434436608.0,0.003770814871788025
ConvNN-1170k,1170975.0,last_layer,kron,0.0099999997764825,0.6971,0.99998,1.2851601,2.039269,0.058934607,0.097607754,0.2378844921875,0.3027797658896446,0.20517201171875,3700,5.9386769083310185,1167159.0878300786,16.210311889648438,299999.75,614442.5,195.2796630859375,58356776960.0,0.0036552548170089723
ConvNN-1231k,1231552.0,last_layer,kron,0.0099999997764825,0.6906,1.0,1.2989941,2.1059139,0.061787482,0.1042209,0.243664921875,0.3153424203968048,0.2111215234375,3790,6.206358981088946,1227639.9552369385,16.827926635742188,299999.75,634266.1875,197.07550048828125,61380759552.0,0.003755456280708313
ConvNN-1276k,1276680.0,last_layer,kron,0.0099999997764825,0.683,1.0,1.2974797,2.1296961,0.063747585,0.10897172,0.24817099609375,0.3236162341427803,0.21464451171875,3870,6.380318557141342,1272683.0970627633,16.922468185424805,299999.75,641410.875,199.17333984375,63632871424.0,0.0037423924684524537
ConvNN-1339k,1339327.0,last_layer,kron,0.0099999997764825,0.6916,1.0,1.2720662,2.087945,0.064386174,0.11137565,0.24975412109375,0.3264872538161277,0.2151116015625,3950,6.55170294875361,1335243.6217003458,16.92520523071289,299999.75,630265.625,202.15484619140625,66760835072.0,0.003608983302116394
ConvNN-1386k,1386951.0,last_layer,kron,0.0099999997764825,0.6963,0.99998,1.2440046,2.0558913,0.06514565,0.11265994,0.25194689453125,0.3285170480084419,0.215857109375,4040,6.671724325731988,1382772.7547885152,16.207408905029297,299999.75,618742.875,204.86756896972656,69137244160.0,0.00354571692943573
ConvNN-1452k,1452219.0,last_layer,kron,0.0099999997764825,0.6995,0.99998,1.2191272,2.0040827,0.06424431,0.11004953,0.2524160546875,0.3247854488325119,0.21473591796875,4120,6.833518800031036,1447953.8691296107,15.674741744995117,299999.75,602100.0625,208.27459716796875,72396234752.0,0.003627854251861572
