model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL
ConvNN-2k,2548.0,last_layer,kron,9.009356498718262,0.2585,0.354,0.2591,0.36,2.084258,2.158216,1.749219,1.7989794,1.9772183837890625,2.5463524,0.7473729
ConvNN-5k,5001.0,last_layer,kron,4.262146472930908,0.1,0.13,0.1,0.13,2.3090646,2.324164,2.2923565,2.307094,2.341756103515625,2.8496666,0.54257244
ConvNN-9k,9663.0,last_layer,kron,3.7936792373657227,0.1,0.13,0.1,0.13,2.309081,2.3230727,2.2925858,2.3063257,2.338648193359375,2.9288876,0.6225619
ConvNN-15k,15888.0,last_layer,kron,19.088825225830078,0.3027,0.86,0.3034,0.86,2.8649032,3.356629,0.6187107,0.7224995,1.223871337890625,3.2960777,2.5735781
ConvNN-21k,21344.0,last_layer,kron,20.514833450317383,0.2849,0.832,0.2845,0.832,2.7942526,3.2899687,0.71296734,0.8345911,1.397255859375,3.9315484,3.0969572
ConvNN-30k,30119.0,last_layer,kron,17.799644470214844,0.303,0.79,0.3031,0.788,2.3746138,2.7300115,0.8014191,0.9112469,1.382537109375,4.156992,3.2457452
ConvNN-37k,37591.0,last_layer,kron,17.19866943359375,0.2862,0.994,0.2858,0.994,3.3103623,4.7834625,0.26515552,0.3903485,0.8300659790039062,4.064546,3.6741977
ConvNN-48k,48987.0,last_layer,kron,17.066499710083008,0.2957,1.0,0.2959,1.0,3.3757007,5.1874614,0.2512096,0.40009645,0.820161376953125,4.4466453,4.046549
ConvNN-62k,62006.0,last_layer,kron,15.325235366821289,0.3087,1.0,0.3095,1.0,3.2940538,5.753589,0.24566792,0.45766702,0.7300447387695312,4.7030826,4.2454157
ConvNN-72k,72421.0,last_layer,kron,14.172977447509766,0.3066,1.0,0.3079,1.0,3.1473064,6.2053633,0.2560965,0.5586483,0.62884130859375,4.9558334,4.3971853
ConvNN-87k,87930.0,last_layer,kron,16.472240447998047,0.3041,1.0,0.3036,1.0,3.1391065,5.6132283,0.264322,0.5082687,0.77995703125,5.6414504,5.1331816
ConvNN-100k,100421.0,last_layer,kron,14.560102462768555,0.3033,1.0,0.302,1.0,3.060685,5.854454,0.25617778,0.5188935,0.6870748291015625,5.740101,5.221207
ConvNN-118k,118551.0,last_layer,kron,14.54160213470459,0.3,1.0,0.3006,1.0,3.1174402,5.78588,0.254762,0.5041919,0.677996826171875,6.061027,5.556835
ConvNN-138k,138364.0,last_layer,kron,13.063838958740234,0.303,1.0,0.3023,1.0,2.93158,6.02669,0.26171222,0.575431,0.5817197875976563,6.1965423,5.6211114
ConvNN-153k,153738.0,last_layer,kron,14.519952774047852,0.2982,1.0,0.2977,1.0,2.9435275,6.446601,0.28790003,0.69331783,0.6420192260742188,6.9701715,6.2768536
ConvNN-175k,175981.0,last_layer,kron,13.400843620300293,0.3191,1.0,0.3196,1.0,3.0335827,6.1117907,0.25298932,0.55214167,0.6146207885742188,6.9309874,6.3788457
ConvNN-193k,193491.0,last_layer,kron,14.100737571716309,0.3019,1.0,0.3012,1.0,3.0001223,6.356564,0.28150016,0.6537066,0.6222617797851563,7.569474,6.9157677
ConvNN-218k,218355.0,last_layer,kron,13.107783317565918,0.3042,1.0,0.3028,1.0,2.8778284,6.152307,0.27425015,0.63303196,0.578008056640625,7.6320386,6.9990067
ConvNN-244k,244962.0,last_layer,kron,13.680726051330566,0.2991,1.0,0.2999,1.0,2.9838214,6.5705786,0.27776894,0.66792053,0.6044114990234375,8.200336,7.532416
ConvNN-265k,265295.0,last_layer,kron,14.188600540161133,0.3055,1.0,0.3052,1.0,2.9057016,6.2005134,0.2805417,0.64487284,0.627267578125,8.658092,8.013219
ConvNN-294k,294272.0,last_layer,kron,14.240735054016113,0.3181,1.0,0.3176,1.0,2.8728108,5.7583485,0.26753017,0.5756104,0.6478610229492188,8.959151,8.383541
ConvNN-316k,316801.0,last_layer,kron,13.116984367370605,0.3159,1.0,0.3179,1.0,2.8759506,6.2404876,0.27321222,0.64267385,0.5786493530273438,9.055558,8.412885
ConvNN-348k,348399.0,last_layer,kron,12.872295379638672,0.321,1.0,0.3194,1.0,2.8215528,6.326085,0.27855688,0.6745941,0.5597628173828125,9.333629,8.659035
ConvNN-381k,381800.0,last_layer,kron,12.561607360839844,0.3123,1.0,0.3119,1.0,2.79097,6.3549356,0.27748966,0.6839875,0.5471653442382812,9.600749,8.916761
ConvNN-407k,407092.0,last_layer,kron,12.37930679321289,0.315,1.0,0.3141,1.0,2.7985919,6.3206387,0.27540094,0.68230706,0.5477018432617188,9.862278,9.179971
ConvNN-442k,442803.0,last_layer,kron,12.0391206741333,0.3151,1.0,0.3149,1.0,2.725182,6.344348,0.27309766,0.672579,0.5245208129882812,10.035936,9.363358
ConvNN-470k,470351.0,last_layer,kron,11.414044380187988,0.318,1.0,0.3168,1.0,2.612553,6.509816,0.29353425,0.7803725,0.49217120361328126,10.232739,9.452367
ConvNN-508k,508683.0,last_layer,kron,12.649943351745605,0.3195,1.0,0.3182,1.0,2.7821412,6.31734,0.27885103,0.6899657,0.5618470458984375,10.993666,10.3036995
ConvNN-548k,548878.0,last_layer,kron,10.024874687194824,0.3226,1.0,0.3228,1.0,2.6432478,6.538144,0.2801562,0.75827247,0.44234237670898435,10.189581,9.431309
ConvNN-579k,579129.0,last_layer,kron,11.292155265808105,0.3177,1.0,0.3176,1.0,2.6199036,6.509361,0.2915168,0.787208,0.490060302734375,11.151081,10.3638735
ConvNN-621k,621574.0,last_layer,kron,11.340909957885742,0.3188,1.0,0.3183,1.0,2.5867896,6.7208047,0.31409043,0.8908114,0.4978629150390625,11.5911,10.700289
ConvNN-654k,654141.0,last_layer,kron,11.65087890625,0.3128,1.0,0.3147,1.0,2.6086354,6.7371607,0.31095347,0.8726425,0.5019172668457031,12.072282,11.199639
ConvNN-699k,699207.0,last_layer,kron,11.623665809631348,0.3206,1.0,0.3194,1.0,2.632499,6.629799,0.30165687,0.8189114,0.5096294555664063,12.323674,11.504763
ConvNN-746k,746196.0,last_layer,kron,11.602333068847656,0.3181,1.0,0.3183,1.0,2.6477075,6.7664857,0.3054359,0.85049736,0.5134617309570313,12.699542,11.849045
ConvNN-781k,781406.0,last_layer,kron,11.118474960327148,0.3228,1.0,0.3202,1.0,2.5572283,6.894056,0.32129714,0.9394299,0.4852503967285156,12.826858,11.887427
ConvNN-830k,830585.0,last_layer,kron,11.769797325134277,0.3116,1.0,0.3137,1.0,2.7273772,6.629681,0.29537696,0.7814413,0.5229321899414062,13.351172,12.569731
ConvNN-868k,868171.0,last_layer,kron,11.011504173278809,0.318,1.0,0.3186,1.0,2.6225965,6.5707507,0.289411,0.7793784,0.479693359375,13.252569,12.473191
ConvNN-919k,919971.0,last_layer,kron,11.034387588500977,0.3182,1.0,0.318,1.0,2.6538832,6.538661,0.28788835,0.76529574,0.490044677734375,13.562626,12.79733
ConvNN-973k,973754.0,last_layer,kron,10.118823051452637,0.3246,1.0,0.3247,1.0,2.5248864,6.6609836,0.30183724,0.8513399,0.4409926452636719,13.383453,12.532113
ConvNN-1013k,1013923.0,last_layer,kron,10.97952651977539,0.3208,1.0,0.3195,1.0,2.6244352,6.359416,0.27742127,0.722035,0.48704541015625,14.131502,13.409467
ConvNN-1069k,1069836.0,last_layer,kron,10.463739395141602,0.3244,1.0,0.3237,1.0,2.6662662,6.3214197,0.26931024,0.6884764,0.4703673095703125,14.055338,13.366861
ConvNN-1112k,1112441.0,last_layer,kron,10.575820922851562,0.319,1.0,0.3176,1.0,2.6106489,6.5092177,0.2879582,0.77066964,0.467102294921875,14.544931,13.774261
ConvNN-1170k,1170975.0,last_layer,kron,11.024874687194824,0.3204,1.0,0.3209,1.0,2.68046,6.4922256,0.28356424,0.74671656,0.4869624938964844,15.136695,14.389978
ConvNN-1231k,1231552.0,last_layer,kron,10.021306037902832,0.3273,1.0,0.3265,1.0,2.5765977,6.5747914,0.28993407,0.79364866,0.4474298095703125,14.78636,13.992711
ConvNN-1276k,1276680.0,last_layer,kron,10.06895637512207,0.3239,1.0,0.3232,1.0,2.5879524,6.8306904,0.29908228,0.8516741,0.4452431945800781,15.168393,14.316719
ConvNN-1339k,1339327.0,last_layer,kron,11.677063941955566,0.322,1.0,0.3217,1.0,2.6305068,6.4259753,0.2849886,0.7421002,0.5111114501953125,16.54877,15.80667
ConvNN-1386k,1386951.0,last_layer,kron,11.249526977539062,0.3196,1.0,0.3181,1.0,2.6330483,6.363934,0.28182682,0.7270261,0.49627435302734374,16.578043,15.851016
ConvNN-1452k,1452219.0,last_layer,kron,11.202279090881348,0.3294,1.0,0.3286,1.0,2.577633,6.1314025,0.27851194,0.7072615,0.5003911743164062,16.835337,16.128075
