model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,expanded kl
ConvNN-2k,2548.0,last_layer,kron,0.1000000014901161,0.4183,0.42426,0.4179,0.42446,1.5959835,1.5974189,1.5741258,1.5755534,1.5886578125,1.5887475688171386,0.0131941516113281,170,1.5612459609535463,238.32633698856225,0.9170151948928833,299960.3,468073.5,13.769729614257812,0.001650409722328186,11915405.0
ConvNN-5k,5001.0,last_layer,kron,0.1000000014901161,0.4415,0.4645,0.441,0.4645,1.5320251,1.5342611,1.4893329,1.4914619,1.51053640625,1.51056947681427,0.0191076037597656,260,1.5157571411687183,474.54247476346615,1.0494105815887451,299975.8,454215.9375,19.333375930786133,0.0015453752756118774,23725680.0
ConvNN-9k,9663.0,last_layer,kron,0.1000000014901161,0.525,0.55522,0.5247,0.5553,1.3306441,1.3337016,1.2449656,1.2477789,1.2719678125,1.2725075912475583,0.0247286987304687,340,1.3363708375367924,932.5637362836673,1.2556647062301636,299996.56,399974.09375,19.01874542236328,0.0011758115410804748,46626004.0
ConvNN-15k,15888.0,last_layer,kron,0.1000000014901161,0.5637,0.62894,0.5634,0.6288,1.2261764,1.2302201,1.0496982,1.0531504,1.085227890625,1.0856984818267823,0.03254806640625,430,1.23513203628893,1545.8450212770429,1.532315731048584,299995.8,368988.59375,21.379823684692383,0.0013986199975013732,77289064.0
ConvNN-21k,21344.0,last_layer,kron,0.1000000014901161,0.5725,0.6411,0.5727,0.64122,1.2319793,1.237067,1.0116458,1.015732,1.052563046875,1.0532891104888915,0.037557060546875,510,1.2442806422943957,2083.0948552678633,1.6981227397918701,299995.25,371195.1875,23.48941993713379,0.001528884744644165,104150768.0
ConvNN-30k,30119.0,last_layer,kron,0.1000000014901161,0.605,0.70544,0.6054,0.70596,1.1532809,1.159752,0.8423835,0.8469942,0.888986953125,0.8896849878120422,0.0426907666015625,590,1.1698431530306037,2951.9906468897507,1.8788423538208008,299997.7,347998.25,24.87729835510254,0.0015956859827041625,147594432.0
ConvNN-37k,37591.0,last_layer,kron,0.1000000014901161,0.5954,0.7189,0.5955,0.71914,1.195764,1.2036773,0.811117,0.8162656,0.863854453125,0.8652248554992675,0.0489592724609375,680,1.2150340280978646,3689.6180679440313,2.0851409435272217,299998.56,360818.84375,26.948265075683594,0.0015678831338882446,184474752.0
ConvNN-48k,48987.0,last_layer,kron,0.1000000014901161,0.6272,0.76134,0.6277,0.76118,1.1095243,1.1186757,0.6977296,0.7032439,0.7544615625,0.7557679737663269,0.0525240625,760,1.135055894775966,4820.422168816088,2.16215443611145,299999.75,335696.0625,28.246017456054688,0.001761420512199402,241013648.0
ConvNN-62k,62006.0,last_layer,kron,0.1000000014901161,0.634,0.80704,0.6343,0.80708,1.1764976,1.1891032,0.5667885,0.57251114,0.6301583984375,0.6323072107505798,0.05979607421875,850,1.2088825260553724,6112.390320190834,2.9757018089294434,299999.44,356551.6875,30.239635467529297,0.0019186212420463562,305610400.0
ConvNN-72k,72421.0,last_layer,kron,0.1000000014901161,0.6444,0.83778,0.6443,0.83774,1.2020993,1.2174819,0.48622295,0.49206445,0.5541585546875,0.5560586649608612,0.06399421875,930,1.240732130045832,7145.054531619594,3.5561962127685547,299999.0,365073.34375,31.208404541015625,0.002063674545288086,357242368.0
ConvNN-87k,87930.0,last_layer,kron,0.1000000014901161,0.617,0.8515,0.6171,0.85178,1.335954,1.3545684,0.455573,0.46158764,0.53018859375,0.5329095077800751,0.0713218701171875,1010,1.383235594729104,8686.582609832525,4.165088176727295,299999.75,406283.75,32.40504837036133,0.002424257755279541,434316864.0
ConvNN-100k,100421.0,last_layer,kron,0.1000000014901161,0.625,0.87428,0.6256,0.8742,1.3974826,1.4200128,0.40038043,0.40652832,0.479753515625,0.4832085484981537,0.076680224609375,1100,1.4535503265926457,9925.649549525811,4.957984924316406,299999.56,426138.8125,33.893009185791016,0.0025837390184402466,496268704.0
ConvNN-118k,118551.0,last_layer,kron,0.1000000014901161,0.639,0.92542,0.6389,0.9252,1.481272,1.5125004,0.2670923,0.27241066,0.34959265625,0.3528829900836944,0.0804723291015625,1180,1.5500019781639451,11729.221573070774,6.673199653625488,299999.44,453270.5,35.12457275390625,0.0029032228946685792,586445312.0
ConvNN-138k,138364.0,last_layer,kron,0.1000000014901161,0.6332,0.9454,0.6337,0.94552,1.6036553,1.6447663,0.21573633,0.2209159,0.3021658984375,0.305680176024437,0.08476427734375,1270,1.6911387300014813,13699.75871576187,8.222732543945312,299999.75,493641.4375,36.48066711425781,0.0031957828283309935,684969984.0
ConvNN-153k,153738.0,last_layer,kron,0.1000000014901161,0.644,0.95648,0.6438,0.95654,1.5709767,1.6191617,0.18442017,0.18926948,0.27352701171875,0.276702940120697,0.08743345703125,1350,1.672585045438961,15227.78298542695,8.33694076538086,299999.75,486547.3125,37.923980712890625,0.0031424362182617188,761369536.0
ConvNN-175k,175981.0,last_layer,kron,0.1000000014901161,0.6469,0.96984,0.6468,0.96974,1.6842338,1.742897,0.14988436,0.15440866,0.2429833984375,0.2461081556987762,0.0916994921875,1430,1.7983824168397191,17442.025456311523,10.043075561523438,299999.75,522072.25,38.70550537109375,0.00329763491153717,872079232.0
ConvNN-193k,193491.0,last_layer,kron,0.1000000014901161,0.6451,0.97726,0.6454,0.97722,1.7732593,1.8477281,0.12703833,0.13133785,0.2222732421875,0.2258588083171844,0.09452095703125,1520,1.9102388508521835,19182.444526157764,11.47928237915039,299999.56,553888.375,39.96910095214844,0.003567439365386963,959098304.0
ConvNN-218k,218355.0,last_layer,kron,0.1000000014901161,0.6527,0.98916,0.6533,0.98922,1.815256,1.9190512,0.08759806,0.09152328,0.18588275390625,0.1891934580111503,0.09767017578125,1600,1.9935177030725209,21658.563757761145,13.204891204833984,299999.56,576395.875,41.07757568359375,0.0036206122875213622,1082901632.0
ConvNN-244k,244962.0,last_layer,kron,0.1000000014901161,0.6472,0.99612,0.6471,0.99612,2.0068204,2.1526575,0.06316262,0.06689782,0.1614605078125,0.1650050044560432,0.0981071875,1690,2.2367691086547654,24307.8050195981,16.00244903564453,299999.25,646721.25,42.34722137451172,0.004045379614830017,1215361024.0
