model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expanded kl
ConvNN-2k,2548.0,last_layer,kron,1.0,0.4185,0.42436,1.5954119,1.5968419,1.5742831,1.5757055,1.58534546875,1.5855972091674804,0.0098916809082031,170,1.5599362743651624,24.35351506142059,0.9180732369422913,199825.16,311690.15625,6.37783145904541,1217143.0
ConvNN-5k,5001.0,last_layer,kron,1.0,0.4397,0.46434,1.5319283,1.5340939,1.4896944,1.4917682,1.50561421875,1.5060058666610718,0.0142376257324218,260,1.514878161520644,47.948232900601596,1.05141019821167,199821.17,302656.78125,7.796169757843018,2396638.0
ConvNN-9k,9663.0,last_layer,kron,1.0,0.5248,0.55556,1.331245,1.3342643,1.2448033,1.2475864,1.265139296875,1.2655118907546996,0.0179255212402343,340,1.3343938020236998,93.68483552816195,1.257975697517395,199938.56,266703.09375,7.582005500793457,4683238.0
ConvNN-15k,15888.0,last_layer,kron,1.0,0.5636,0.6283,1.2259969,1.2300345,1.0496272,1.0530765,1.0765615625,1.076972084274292,0.0238955786132812,430,1.231025590128352,154.94446077804,1.534935474395752,199984.03,246030.515625,8.31558895111084,7745859.5
ConvNN-21k,21344.0,last_layer,kron,1.0,0.5719,0.6417,1.232362,1.2374257,1.011495,1.0155681,1.042299453125,1.042876240196228,0.0273081030273437,510,1.238438387442478,208.46689375111353,1.6950881481170654,199995.58,247473.73437500003,9.197980880737305,10421757.0
ConvNN-30k,30119.0,last_layer,kron,1.0,0.6055,0.70482,1.152837,1.1592417,0.8426313,0.8472227,0.877089453125,0.878053440208435,0.0308307543945312,590,1.1608687178634933,294.99568697834525,1.8754291534423828,199990.2,231867.375,9.809576034545898,14747934.0
ConvNN-37k,37591.0,last_layer,kron,1.0,0.5974,0.71882,1.1954376,1.20322,0.8108811,0.81595117,0.850211875,0.8513504239082337,0.0353992553710937,680,1.2040056529624414,368.39756351685253,2.0867462158203125,199994.88,240426.5625,10.703313827514648,18417726.0
ConvNN-48k,48987.0,last_layer,kron,1.0,0.6275,0.76014,1.1090456,1.1181358,0.6974538,0.7029296,0.7391209375,0.7401646062088013,0.037234990234375,760,1.1208938027514532,481.00057131187174,2.15523362159729,199998.62,223696.21875,10.989766120910645,24047672.0
ConvNN-62k,62006.0,last_layer,kron,1.0,0.6324,0.80684,1.1766273,1.1890016,0.5662315,0.5718991,0.6130359765625,0.6146544920158387,0.0427553759765625,850,1.191959594497307,609.6313843138739,2.9742517471313477,199997.28,237779.04687499997,11.709915161132812,30478808.0
ConvNN-72k,72421.0,last_layer,kron,1.0,0.6441,0.83774,1.2021288,1.2174603,0.4859782,0.49177736,0.5353275,0.5369734395408631,0.0451960791015625,930,1.2208987250936933,712.3625996413056,3.567305088043213,199999.05,243466.21875,11.887173652648926,35615144.0
