model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,extended kl,extended bayes loss train,extended gibbs loss train,extended BMA train accuracy
ConvNN-2k,2548.0,last_layer,kron,100.0,0.4187,0.42436,1.595324,1.5965487,1.5739161,1.5751289,1.60106140625,1.6009675750350951,0.025838662109375,170,1.5620283113332016,237.66316823568525,0.9156908392906189,99997.92,155961.921875,4.798282623291016,0.0619778594970703,11881615.0,1.6015958,1.6028675,0.41456
ConvNN-5k,5001.0,last_layer,kron,100.0,0.441,0.46456,1.5318098,1.5337076,1.4891875,1.4910291,1.5154409375,1.5153351150131225,0.0243059716796875,260,1.518766659266521,473.73973707663237,1.0474846363067627,99998.94,151401.3125,4.518825531005859,0.0586740173339843,23685284.0,1.5283636,1.5303425,0.44758
ConvNN-9k,9663.0,last_layer,kron,100.0,0.525,0.55648,1.3302339,1.3326459,1.2442294,1.2464694,1.2725428125,1.2723811387252808,0.0259117602539062,340,1.3418790312674997,931.5100982724305,1.2558574676513672,99999.72,133256.015625,4.645442008972168,0.0439984432220459,46573264.0,1.2977538,1.3002851,0.53658
ConvNN-15k,15888.0,last_layer,kron,100.0,0.5642,0.62832,1.2256519,1.2291296,1.0489069,1.0518823,1.08560828125,1.085329991607666,0.033447724609375,430,1.2444178195496756,1544.442372882278,1.5302700996398926,99999.95,122897.28124999999,5.2405548095703125,0.0526701442718505,77218888.0,1.1212322,1.1247013,0.60136
ConvNN-21k,21344.0,last_layer,kron,100.0,0.5729,0.64208,1.2319024,1.2361374,1.0105821,1.0139995,1.05337140625,1.0531035246276856,0.0391040625,510,1.2568616193556175,2081.52805093373,1.6929175853729248,99999.84,123604.43749999999,5.724518775939941,0.0561842140197753,104072352.0,1.0869467,1.090967,0.61228
ConvNN-30k,30119.0,last_layer,kron,100.0,0.6059,0.70546,1.1525384,1.1578192,0.84126586,0.8450389,0.8872853125,0.8869725822448731,0.04193369140625,590,1.1872600761154435,2950.186333728292,1.873360276222229,99999.95,115775.765625,5.937673091888428,0.058942036819458,147504256.0,0.9448696,0.9496875,0.6633
ConvNN-37k,37591.0,last_layer,kron,100.0,0.5966,0.7197,1.1951909,1.2015474,0.8092928,0.8134795,0.85860734375,0.8582891559791564,0.0448096728515625,680,1.2382831847384093,3687.666679316649,2.082395076751709,99999.95,120140.59374999999,6.058647155761719,0.0581304313659667,184377392.0,0.9271395,0.93252397,0.67172
ConvNN-48k,48987.0,last_layer,kron,100.0,0.6283,0.76112,1.1092682,1.1163253,0.6956925,0.6999454,0.74853640625,0.7480684761619568,0.0481230859375,760,1.1644468300210231,4818.170362803405,2.1526057720184326,99999.83,111626.3125,6.43508243560791,0.06570107421875,240901280.0,0.821116,0.82700914,0.71052
ConvNN-62k,62006.0,last_layer,kron,100.0,0.6358,0.80778,1.1756053,1.1854237,0.5638275,0.56837577,0.6218584375,0.6213841451835632,0.05300837890625,850,1.246447888197592,6109.816441017938,2.959242343902588,99999.92,118534.875,6.6671528816223145,0.0716678649902343,305482048.0,0.7416998,0.74904233,0.73386
ConvNN-72k,72421.0,last_layer,kron,100.0,0.6447,0.8395,1.2018396,1.2136415,0.48314425,0.48763666,0.5440527734375,0.5433863430690765,0.0557496875,930,1.2851399526645773,7142.304472087153,3.545497417449951,99999.91,121371.57031250001,6.934343338012695,0.0761171516418457,357105280.0,0.6851742,0.69344413,0.75674
