model,parameters,subset,hessian,prior precision,bma test acc.,neg log marginal laplace
ConvNN-2k,2548.0,last_layer,kron,6.602908611297607,41.82,1.58376296875
ConvNN-5k,5001.0,last_layer,kron,10.681039810180664,44.05,1.50240625
ConvNN-9k,9663.0,last_layer,kron,13.617659568786621,52.56,1.26003578125
ConvNN-15k,15888.0,last_layer,kron,14.093528747558594,56.39,1.069892421875
ConvNN-21k,21344.0,last_layer,kron,13.85588550567627,57.29,1.034497734375
ConvNN-30k,30119.0,last_layer,kron,14.94096565246582,60.63,0.86770390625
ConvNN-37k,37591.0,last_layer,kron,16.223039627075195,59.61,0.839179765625
ConvNN-48k,48987.0,last_layer,kron,16.280048370361328,62.82,0.726557109375
ConvNN-62k,62006.0,last_layer,kron,16.90342903137207,63.61,0.5988078515625
ConvNN-72k,72421.0,last_layer,kron,17.321685791015625,64.56,0.51938796875
ConvNN-87k,87930.0,last_layer,kron,18.099607467651367,61.73,0.492002734375
ConvNN-100k,100421.0,last_layer,kron,18.826570510864258,62.45,0.4378801171875
ConvNN-118k,118551.0,last_layer,kron,17.716411590576172,64.17,0.305310546875
ConvNN-138k,138364.0,last_layer,kron,18.65723991394043,63.19,0.254068984375
ConvNN-153k,153738.0,last_layer,kron,18.41445541381836,64.59,0.22281484375
ConvNN-175k,175981.0,last_layer,kron,19.061988830566406,64.86,0.188649375
ConvNN-193k,193491.0,last_layer,kron,19.347169876098633,64.67,0.16448794921875
ConvNN-218k,218355.0,last_layer,kron,19.29925537109375,65.36,0.1249180078125
ConvNN-244k,244962.0,last_layer,kron,19.069576263427734,64.78,0.09784630859375
ConvNN-265k,265295.0,last_layer,kron,19.326772689819336,65.36,0.091484423828125
ConvNN-294k,294272.0,last_layer,kron,19.34709358215332,64.55,0.0801529296875
ConvNN-316k,316801.0,last_layer,kron,19.03281021118164,64.72,0.066570771484375
ConvNN-348k,348399.0,last_layer,kron,18.531213760375977,66.03,0.060649716796875
ConvNN-381k,381800.0,last_layer,kron,17.565378189086914,67.24,0.0503216064453125
ConvNN-407k,407092.0,last_layer,kron,18.287845611572266,66.85,0.054060341796875
ConvNN-442k,442803.0,last_layer,kron,18.6216983795166,65.83,0.051835791015625
ConvNN-470k,470351.0,last_layer,kron,19.28890037536621,66.97,0.0522620654296875
ConvNN-508k,508683.0,last_layer,kron,19.0042724609375,66.84,0.049571630859375
ConvNN-548k,548878.0,last_layer,kron,18.645450592041016,66.85,0.0477744091796875
ConvNN-579k,579129.0,last_layer,kron,19.07254981994629,67.68,0.0479047119140625
ConvNN-621k,621574.0,last_layer,kron,19.305206298828125,68.18,0.0471096728515625
ConvNN-654k,654141.0,last_layer,kron,19.128894805908203,67.23,0.0469357373046875
ConvNN-699k,699207.0,last_layer,kron,19.47775650024414,66.69,0.0466855810546875
ConvNN-746k,746196.0,last_layer,kron,18.912538528442383,67.99,0.045359716796875
ConvNN-781k,781406.0,last_layer,kron,19.65839385986328,68.42,0.0456209619140625
ConvNN-830k,830585.0,last_layer,kron,20.108633041381836,67.54,0.04674486328125
ConvNN-868k,868171.0,last_layer,kron,19.609704971313477,68.67,0.0455589599609375
ConvNN-919k,919971.0,last_layer,kron,18.90255355834961,68.5,0.0434464306640625
ConvNN-973k,973754.0,last_layer,kron,20.031564712524414,68.58,0.0458309765625
ConvNN-1013k,1013923.0,last_layer,kron,19.41817855834961,68.98,0.044273310546875
ConvNN-1069k,1069836.0,last_layer,kron,19.070825576782227,69.0,0.044172265625
ConvNN-1112k,1112441.0,last_layer,kron,19.714441299438477,68.75,0.043952890625
ConvNN-1170k,1170975.0,last_layer,kron,19.552227020263672,69.67,0.04386140625
ConvNN-1231k,1231552.0,last_layer,kron,19.927827835083008,68.98,0.044021728515625
ConvNN-1276k,1276680.0,last_layer,kron,20.296567916870117,68.24,0.0437799951171875
ConvNN-1339k,1339327.0,last_layer,kron,19.829669952392578,69.19,0.0438555224609375
ConvNN-1386k,1386951.0,last_layer,kron,19.783052444458008,69.78,0.0431357470703125
ConvNN-1452k,1452219.0,last_layer,kron,19.329336166381836,70.04,0.042680185546875
